cinema_id,movie_id,movie_name,date,start_time,hall,language,version,price,seq_no,crawl_time
38475,1142033,疯狂动物城2,2025-11-28,20:00,2号厅 免费停车3小时,国语,2D,33,202511280171690,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,20:30,3号厅 免费停车3小时,原版,2D,33,202511280171700,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,21:00,4号厅 免费停车3小时,原版,2D,33,202511280171698,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-28,21:30,5号厅 免费停车3小时,原版,2D,33,202511280351271,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,10:00,2号厅 免费停车3小时,国语,2D,33,202511290171911,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,10:30,3号厅 免费停车3小时,原版,2D,33,202511290171894,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,11:00,4号厅 免费停车3小时,原版,2D,33,202511290171907,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,11:30,5号厅 免费停车3小时,原版,3D,38,202511290171900,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,12:00,2号厅 免费停车3小时,国语,2D,33,202511290171906,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,12:30,3号厅 免费停车3小时,原版,2D,33,202511290171897,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,13:00,4号厅 免费停车3小时,原版,2D,33,202511290171903,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,13:30,5号厅 免费停车3小时,国语,3D,38,202511290171893,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,14:00,2号厅 免费停车3小时,国语,2D,33,202511290171908,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,14:30,3号厅 免费停车3小时,原版,2D,33,202511290171914,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,15:00,4号厅 免费停车3小时,原版,2D,33,202511290171905,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,15:30,5号厅 免费停车3小时,原版,3D,38,202511290171896,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,16:00,2号厅 免费停车3小时,国语,2D,33,202511290171904,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,16:30,3号厅 免费停车3小时,原版,2D,33,202511290171916,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,17:00,4号厅 免费停车3小时,原版,2D,33,202511290171899,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,17:30,5号厅 免费停车3小时,原版,3D,38,202511290171913,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,18:00,2号厅 免费停车3小时,国语,2D,33,202511290171898,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,18:30,3号厅 免费停车3小时,原版,2D,33,202511290171910,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,19:00,4号厅 免费停车3小时,原版,2D,33,202511290171902,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,19:30,5号厅 免费停车3小时,国语,3D,38,202511290171915,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,20:00,2号厅 免费停车3小时,国语,2D,33,202511290171901,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,20:30,3号厅 免费停车3小时,原版,2D,33,202511290171912,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,21:00,4号厅 免费停车3小时,原版,2D,33,202511290171895,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-29,21:30,5号厅 免费停车3小时,原版,3D,38,202511290171909,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,10:00,2号厅 免费停车3小时,国语,2D,33,202511300148309,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,10:30,3号厅 免费停车3小时,原版,2D,33,202511300148326,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,11:00,4号厅 免费停车3小时,原版,2D,33,202511300148308,2025-11-26 14:08:45
38475,1142033,疯狂动物城2,2025-11-30,11:30,5号厅 免费停车3小时,原版,3D,38,202511300148328,2025-11-26 14:08:45
